name,address,lat,lng,scale,contact,web,description,source,tags
ZAD de Notre-Dame-des-Landes,Notre Dame des Landes,47.3815,-1.7113,zone,http://zad.nadir.org/,,"à regarder avant de venir : http://zad.nadir.org . Besoin de renfort, il y a de quoi héberger, et de quoi nourrir sur place, n’hésitez pas à ramener du matériel : http://zad.nadir.org/spip.php?article515",caravane,clapas_LOIREATLANTIQUE zad
Démosphère Gard Et Cevennes,@GARD @CEVENNES,43.9595,3.4934,region,http://gard.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Toulouse,TOULOUSE,43.6047,1.4442,city,http://toulouse.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Tarn,@TARN,43.7915,1.6759,region,http://tarn.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Aude,@AUDE,43.0541,1.9038,region,http://carcassonne.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Ariege,@ARIEGE,42.9435,0.9405,region,http://ariege.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Loire-atlantique,@LOIREATLANTIQUE,47.3476,-2.3024,region,http://loire-atlantique.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Rennes,RENNES,48.1173,-1.6778,city,http://rennes.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Paris,PARIS,48.8566,2.3522,region,http://www.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Lille,LILLE,50.6293,3.0573,city,http://lille.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Rouen,ROUEN,49.4432,1.1,city,http://rouen.demosphere.eu/widget-config,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Marseille,MARSEILLE,43.2965,5.3698,city,http://marseille.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Nice,NICE,43.7102,7.262,city,http://nice.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Gironde,@GIRONDE,44.7938,-0.8825,region,http://gironde.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Picardie,@PICARDIE,49.5981,1.6966,region,http://picardie.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Des Hautes Alpes,@HAUTESALPES,44.6562,5.6873,region,http://05.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Alpes De Haute Provence,@ALPEDEHAUTEPROVENCE,44.1637,5.6724,region,http://04.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
Démosphère Poitiers,POITIERS,46.5802,0.3404,city,http://poitiers.demosphere.eu/,,"agenda militant, alternatif, participatif local",caravane,clapas_DEMOSPHERE calendar list
KOKOPELLI,"22 Cap de l'Ourm, 09290 LE MAS D'AZIL",43.0836,1.3628,,semences@kokopelli-semences.fr - http://www.kokopelli-semences.fr - 05 61 67 69 87,,-,caravane,clapas_ARIEGE
TOM RIJVEN,09290 GABRE,43.0747,1.4172,,05 61 69 98 17 - http://habitatvegetal.free.fr,,Chantiers-école WWOOF,caravane,clapas_ARIEGE
FERME DE BAYCHENAT,"Route de Laborie, 09420 ESPLAS DE SEROU",42.9752,1.3762,,Clotilde et Didier 05 61 04 72 64 - 06 36 55 18 42 - clorube@hotmail.com - http://terrepartagee.canalblog.com/,,"educ, fromage, constru, jardin  Ferme recherche associé ",caravane,clapas_ARIEGE
ECOVILLAGE SAINTE CAMELLE,09100 SAINT VICTOR ROUZAUD,43.0948,1.5515,,contact@camelitos.fr - http://ecovillagestecamelle.fr/,,"Eco village - démarré en juin 2011, comptant à ce jour 8 adultes et 2 enfants, non-fumeurs - installé au milieu de 18 Ha de prairie et forêt avec vue sur les Pyrénées. Ce lieu accueillera environ 20 personnes à plein temps. De nombreux projets en cours : maraîchage bio, verger bio, construction, cours... et autres en prévision : auberge bio, boulangerie bio, céréales bio, marché hebdomadaire, camping, accueil de stages, cours (yoga, danse, chants, développement personnel), des bals traditionnels... Ici, une journée par semaine est dédiée à la collectivité avec un temps de silence/méditation le matin et un temps de chants en fin de journée, fêtes diverses. Les WWOOFers sont invités à y participer également, s'ils le souhaitent. Le but étant notamment de "" créer du lien"". Nos activités sont diverses : création d'un verger pédagogique, restauration de bâtiments et constructions en matériaux écologiques (terre, paille, bois...), maraîchage, gestion forêt, création de nouvelles activités, réflexions sur la décroissance, la qualité de vie et un modèle sociétal nouveau. Nous avons une salle commune avec bibliothèque, connexion internet & jeux. Français, anglais et espagnol parlés",caravane,clapas_ARIEGE
JARDINS ST-AMADOU,"1 route de la Bastide de Lordat, 09100 SAINT-AMADOU",43.1104,1.7231,,05 67 44 19 19 - contact@jardins-st-amadou.fr - http://jardins-st-amadou.fr/,,"Dans les Pyrénées, au cœur du pays cathare, Pascale et Michel propose aux Jardins St Amadou, une ferme de culture et transformation de plantes médicinales à échelle humaine. Passionnés d'herboristerie nous nous sommes naturellement orientés vers la démonstration et la découverte auprès des écoles ou des particuliers. C'est avec plaisir que nous accueillons les WWOOFers pour la culture du jardin ou la cueillette sauvage, ou la distillation d'huiles essentielles ! Français, anglais et espagnol parlés",caravane,clapas_ARIEGE
SCEA MAFFE,09100 VENTENAC,43.5433,2.4854,,05 61 60 80 25,,"Bonjour les WWOOFeuses, les WWOOFers ; nous serions heureux de vous accueillir dans notre ferme près de Foix en Ariège (région Midi-Pyrénées). Nous élevons 180 brebis laitières et transformons le lait en productions fromagères que nous vendons sur les marchés locaux et à Toulouse. Nous faisons aussi le jardin et transformons des fruits rouges et des légumes en tartes selon les saisons. Nous, pour l'instant, c'est Gene (60 ans) et Léo (21 ans) et des copains qui passent ; on est aussi branchés avec des associations alternatives locales. Gene est branchée musique violon et accordéon. On a aussi des poules, des ânes et bientôt des chevaux. Côté activités, en plus des tâches quotidiennes, il faudrait qu'on avance des clôtures et autres projets en fonction de vos goûts ! On espère à bientôt. Gene & Léo. Français et anglais parlés",caravane,clapas_ARIEGE
EARL DE GUILLEMOT (ELLEMEET'S PLACE),"Guillemot, 09120 CAZAUX",43.0579,1.5165,,05 61 05 39 81,,"Ferme agrée bio élevage bovin viande en pleine campagne - un ancien village Ariégeois. Lieu de partage et de rencontre. Travail à la ferme, potager, fruitiers, coupe de bois en automne, aménagement des bâtiments éventuellement. Français, anglais et hollandais parlés",caravane,clapas_ARIEGE
FERME EQUESTRE DE LAURENS,09120 ARTIX,43.0683,1.5676,,06 42 25 09 08,,"Notre ferme équestre est installée aux pieds des Pyrénées ariégeoises dans la montagne de Plantaurel à 600 m d’altitude. Il s’agit d’une ferme de 27 Ha de près et de bois. L’activité principale est l’élevage et le dressage des chevaux islandais et lusitaniens. Nous avons aussi un petit troupeau de moutons et un potager. Le potager est cultivé selon les techniques de la permaculture/cultures associées. Nous sommes en train d’installer un verger pour faire du jus de pommes/cidre. Les WWOOFers pourront participer à des activités très différentes. Nous mangeons principalement végétariens. Français, anglais et allemand parlés.",caravane,clapas_ARIEGE
FERME BONZOM,09130 SAINTE SUZANNE,43.2105,1.3866,,05 61 68 99 72 - http://lesbonzoms.free.fr/spip.php?rubrique11,,"Sur un terrain de 20ha, 1,5ha sont consacrés au maraîchage. Marion et Mike ont la certification « agriculture biologique ». Ils ont recours à la traction animale pour travailler la terre.",caravane,clapas_ARIEGE
LA FERME DU BONHEUR,09130 ARTIGAT,43.1361,1.4393,,05 61 68 58 87 - http://lafermedubonheur.over-blog.net/,,"Depuis 1986 Pascal Laurent vit en permanence sur 25 ha de prés, 10 ha de garrigue, 6 ha de bois, 1 ha de jardins, et développe des activités agricoles : ânes, vaches, chevaux, fruitiers... ainsi que l'accueil. Petits lacs, source, énergie solaire, végétarien. Depuis janvier 1986, Pascal Laurent a trouvé un grand nombre de personnes qui se sont impliquées par l'acquisition de parts de GFA. Seul Pascal vit en permanence sur les 25 ha. prés, 10 ha. garrigue, 6 ha. bois, l ha. jardin en développant  des activités agricoles (élevage ânes, vaches, chevaux, culture jardin, arbres fruitiers), l'accueil/échange/séjour écologique, la communion avec la nature. Divers points d'eau, petits lacs, source, ruisseau, adduction: pour population éventuelle de 50 pers. Utilisation maximum d'énergie solaire, surtout pour l'eau chaude. Habitations: 2 maisons, ferme/couvent, dépendances, petit habitat tournant. Il y a des permis de construire. Situation: médécin à 8 km., école primaire/ commerces à 3 km, gare et enseignement supérieur à 20 km. Relations bonnes avec commune/mairie. RECHERCHE de gens autonomes, harmonieux, amoureux de la nature, connaisseurs/amateurs de la bio-agriculture, du bâtiment, de la santé/nourriture saine (végétariens) et du développement personnel/artistique, alignement avec sa propre essence, pionniers d'un monde nouveau. Conditions de participation: esprit d'échange, autonomie financière (APPORT FINANCIER INITIAL N'EST PAS NÉCESSAIRE), recherche d'une vie sobre et ouverture spirituelle (méditations pour l'harmonisation de la terre). Si chacun adopte une attitude responsable, les conflits se règleront harmonieusement. Procédure de participation: séjour approfondi, temps d'essai, travail partagé, réunions/stage d'initiation, contribution financière.",caravane,clapas_ARIEGE
LES JARDINS D ILLAS,"illas, 09200 RIVERENERT Midi-Pyrénées",42.9568,1.2399,,05 34 14 62 23,,"Nous sommes un jeune couple installés sur une ferme de la Foncière Terre de liens, nous produisons des légumes, des semences potagères et des petits fruits, en agroécologie et en traction animale, en Ariège, à 500 m d'altitude. Nous sommes en ce moment en train de retaper une grange, destinée à devenir une salle multi activités, nous permettant de développer un volet pédagogique sur la ferme. Français parlé uniquement",caravane,clapas_ARIEGE
RAMES,09200 MOULIS,42.9617,1.0912,,05 61 04 69 34,,"Dans un hameau de montagne a 5 Km du village, 10 km de la ville, par bus, train ou voiture. Une ferme biologique, 20ha, vieille maison pyrénéenne, éleveur de vaches allaitantes, 1ha de maraîchage; 2 marchés par semaine. Activités proposée : au jardin, au foin, le bois, les clôtures, l'entretien (des matériaux, les étables, de la maison) la maçonnerie, la construction et les serres. Nombreux projets. Français, anglais et allemand parlés",caravane,clapas_ARIEGE
